#datatype,string,long,string,long,dateTime:RFC3339
#partition,false,false,false,false,false
#default,0,,,,
,result,table,_measurement,_time,io_time
,,0,diskio,2018-05-22T19:53:26Z,15204688
,,0,diskio,2018-05-22T19:53:36Z,15204894
,,0,diskio,2018-05-22T19:53:46Z,15205102
,,0,diskio,2018-05-22T19:53:56Z,15205226
,,0,diskio,2018-05-22T19:54:06Z,15205499
,,0,diskio,2018-05-22T19:54:16Z,15205755
,,0,diskio,2018-05-22T19:53:26Z,648
,,0,diskio,2018-05-22T19:53:36Z,648
,,0,diskio,2018-05-22T19:53:46Z,648
,,0,diskio,2018-05-22T19:53:56Z,648
,,0,diskio,2018-05-22T19:54:06Z,648
,,0,diskio,2018-05-22T19:54:16Z,648

